,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind speed
131,kaeo,light rain,NZ,1567436168,100,-35.1,173.78,14.44,6.93
132,gweta,clear sky,BW,1567436168,11,-20.21,25.26,27.83,2.9
133,ginir,light rain,ET,1567436168,72,7.14,40.71,20.03,1.8
134,barrow,light rain,AR,1567436168,49,-38.31,-60.23,8.03,8.38
135,constitucion,few clouds,MX,1567436168,100,23.99,-104.67,17.78,1.0
136,merauke,clear sky,ID,1567436168,78,-8.49,140.4,24.03,10.58
137,yellowknife,light rain,CA,1567436169,93,62.45,-114.38,7.0,2.6
138,pevek,overcast clouds,RU,1567436169,78,69.7,170.27,3.03,0.87
139,saint-philippe,moderate rain,CA,1567436169,93,45.36,-73.48,18.33,2.6
140,boquira,broken clouds,BR,1567436169,15,-12.82,-42.73,38.63,0.83
141,bournemouth,broken clouds,GB,1567435958,63,50.72,-1.88,20.0,6.7
142,san carlos de bariloche,clear sky,AR,1567436169,34,-41.13,-71.31,2.0,4.1
143,mandera,few clouds,ET,1567436169,31,3.94,41.86,34.33,7.84
144,san patricio,clear sky,PY,1567436169,45,-26.98,-56.83,18.43,2.74
145,ribeira grande,broken clouds,PT,1567436169,69,38.52,-28.7,24.0,4.1
146,new norfolk,clear sky,AU,1567436170,87,-42.78,147.06,9.44,1.5
147,alvaraes,few clouds,BR,1567436170,74,-3.22,-64.8,30.0,2.6
148,bilma,broken clouds,NE,1567436170,13,18.69,12.92,39.43,3.63
149,tiksi,light rain,RU,1567436170,94,71.64,128.87,4.53,4.43
150,kampene,light rain,CD,1567436170,61,-3.59,26.67,29.63,0.77
151,port lincoln,clear sky,AU,1567436170,83,-34.72,135.86,13.93,3.95
152,san quintin,moderate rain,PH,1567436170,91,17.54,120.52,24.63,2.54
153,saskylakh,clear sky,RU,1567436170,87,71.97,114.09,-0.98,1.0
154,paragominas,clear sky,BR,1567436171,46,-3.0,-47.35,33.23,2.57
155,provideniya,light rain,RU,1567436171,92,64.42,-173.23,8.23,7.75
156,kahului,broken clouds,US,1567436171,100,20.89,-156.47,26.0,4.1
157,khatanga,clear sky,RU,1567436171,74,71.98,102.47,6.33,3.27
158,pangkalanbuun,overcast clouds,ID,1567436171,87,-2.68,111.62,23.53,1.44
159,gairo,scattered clouds,TZ,1567436171,43,-6.14,36.87,24.73,5.21
160,xiongzhou,light rain,CN,1567436171,94,32.34,118.83,21.11,2.0
161,ancud,few clouds,CL,1567436172,81,-41.87,-73.83,6.0,4.1
162,dongying,clear sky,CN,1567436172,53,37.43,118.67,24.23,3.78
163,husavik,clear sky,CA,1567436172,74,50.56,-96.99,13.33,1.34
164,rocha,clear sky,UY,1567436172,52,-34.48,-54.34,11.63,4.42
165,manta,scattered clouds,RO,1567436172,21,45.1,24.1,29.93,3.15
166,talnakh,clear sky,RU,1567436172,87,69.49,88.39,9.0,5.0
167,zernograd,clear sky,RU,1567436172,19,46.84,40.3,27.83,2.27
168,dingle,overcast clouds,PH,1567436173,89,11.0,122.67,23.13,2.18
169,george,clear sky,MW,1567436173,40,-15.35,34.83,26.83,4.46
170,moron,overcast clouds,HT,1567436173,67,18.56,-74.26,29.13,0.7
171,necochea,light rain,AR,1567436173,81,-38.55,-58.74,5.56,3.13
172,springbok,clear sky,ZA,1567436173,10,-29.67,17.88,30.63,0.69
173,baherden,clear sky,TM,1567436173,21,38.44,57.43,22.63,3.14
174,uruzgan,clear sky,AF,1567436173,19,32.93,66.63,14.93,1.79
175,requena,few clouds,ES,1567436173,65,39.49,-1.1,29.44,3.6
176,touros,broken clouds,BR,1567435985,69,-5.2,-35.46,28.0,6.2
177,ovsyanka,overcast clouds,RU,1567436174,69,53.58,126.91,13.13,0.61
178,tiznit,overcast clouds,MA,1567436174,91,29.7,-9.73,19.63,3.31
179,mao,scattered clouds,DO,1567435988,74,19.55,-71.08,33.33,5.1
180,harper,clear sky,US,1567436174,69,30.3,-99.24,27.22,2.1
181,qaanaaq,clear sky,GL,1567436174,47,77.48,-69.36,3.43,2.69
182,kodinsk,clear sky,RU,1567436174,86,58.6,99.18,9.13,1.3
183,paraiso,scattered clouds,BR,1567436174,66,-0.03,-51.17,32.0,5.1
184,eyl,clear sky,SO,1567436174,66,7.98,49.82,26.23,10.88
185,angoche,few clouds,MZ,1567436175,72,-16.23,39.91,24.63,3.52
186,nikolskoye,scattered clouds,RU,1567436175,47,59.7,30.79,25.0,5.0
187,babushkin,overcast clouds,RU,1567436175,86,51.72,105.86,13.23,5.94
188,tilichiki,clear sky,RU,1567436175,91,60.47,166.1,3.33,2.82
189,saint anthony,clear sky,US,1567436175,62,43.97,-111.68,18.33,1.5
190,kargil,few clouds,PK,1567436081,44,34.56,76.13,14.93,4.24
191,cameron park,clear sky,US,1567436175,56,38.68,-120.99,24.0,3.1
192,tabuk,light rain,PH,1567436175,98,17.41,121.44,18.43,0.79
193,katsuura,few clouds,JP,1567436176,83,33.93,134.5,26.0,4.1
194,honiara,few clouds,SB,1567436176,100,-9.43,159.96,24.0,2.93
195,samarai,light rain,PG,1567436176,88,-10.62,150.67,21.13,2.94
196,san ignacio,scattered clouds,PE,1567436176,49,-5.15,-79.0,25.73,0.42
197,kerugoya,moderate rain,KE,1567436176,88,-0.5,37.28,18.03,1.65
198,aitape,light rain,PG,1567436176,90,-3.15,142.36,25.03,2.67
199,gorontalo,broken clouds,ID,1567436177,86,0.54,123.06,20.73,1.89
200,egvekinot,light rain,RU,1567436177,93,66.32,-179.17,2.53,10.91
201,tibiri,broken clouds,NE,1567436177,35,13.57,7.05,34.63,2.66
202,kruisfontein,clear sky,ZA,1567436177,70,-34.0,24.73,15.13,4.34
203,tome,overcast clouds,JP,1567436177,97,38.69,141.2,17.33,0.61
204,chokurdakh,clear sky,RU,1567436177,66,70.62,147.9,4.13,1.97
205,nanortalik,light rain,GL,1567436177,95,60.14,-45.24,6.23,0.69
206,biak,overcast clouds,ID,1567436178,67,-0.91,122.88,13.63,2.14
207,banga,overcast clouds,PH,1567436178,79,11.64,122.33,26.63,5.84
208,lagoa,clear sky,PT,1567436178,54,37.14,-8.45,29.44,3.1
209,wufeng,overcast clouds,CN,1567436178,98,27.44,104.87,14.53,0.69
210,longyearbyen,broken clouds,NO,1567436178,70,78.22,15.63,6.0,9.8
211,cabra,clear sky,ES,1567436178,18,37.47,-4.43,38.0,4.6
212,caravelas,overcast clouds,BR,1567436178,67,-17.73,-39.27,26.83,4.17
213,sept-iles,overcast clouds,CA,1567436179,76,50.2,-66.38,14.0,3.1
214,rundu,clear sky,NA,1567436179,4,-17.91,19.77,32.0,2.6
215,bandarbeyla,few clouds,SO,1567436179,63,9.49,50.81,27.53,12.3
216,loudi,broken clouds,CN,1567436179,85,27.73,112.0,18.63,1.6
217,pisco,mist,PE,1567436179,30,-13.71,-76.2,22.0,1.5
218,derzhavinsk,broken clouds,KZ,1567436179,53,51.1,66.31,12.53,3.21
